helper,month,date,admission_type,EAST OF ENGLAND COMMISSIONING REGION,LONDON COMMISSIONING REGION,MIDLANDS COMMISSIONING REGION,NATIONAL,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,SOUTH WEST COMMISSIONING REGION
64,,08/01/2019,sas_daycase_elective,0.03313208,0.037294628,0.055772454,0.285454076,0.048921791,0.039812069,0.040252977,0.02991535
65,,09/01/2019,sas_daycase_elective,0.03358484,0.038678984,0.056839166,0.292693496,0.050168659,0.041156126,0.041618368,0.030275662
66,,10/01/2019,sas_daycase_elective,0.036905871,0.04258078,0.061717596,0.321307931,0.055056571,0.045863883,0.045463273,0.033340682
67,,11/01/2019,sas_daycase_elective,0.03544566,0.040141565,0.059242824,0.305799359,0.051837471,0.042805975,0.043685419,0.032250265
68,,12/01/2019,sas_daycase_elective,0.031287853,0.034445322,0.052726398,0.268056711,0.046025075,0.03715003,0.037939397,0.028161202
69,,01/01/2020,sas_daycase_elective,0.036578746,0.041388433,0.060769408,0.315594147,0.054222165,0.044659683,0.044759243,0.03283103
70,,02/01/2020,sas_daycase_elective,0.033852704,0.039285824,0.056327144,0.291445679,0.049210989,0.04102575,0.041551995,0.029837125
71,,03/01/2020,sas_daycase_elective,0.02714664,0.02820387,0.044583828,0.229354971,0.041070789,0.031657647,0.032266858,0.024188291
72,,04/01/2020,sas_daycase_elective,0.009481886,0.008130717,0.016273287,0.074921123,0.014338982,0.008623775,0.009081276,0.008934307
73,,05/01/2020,sas_daycase_elective,0.010804609,0.010643417,0.019136817,0.090358107,0.016166616,0.010510671,0.01211548,0.01090891
74,,06/01/2020,sas_daycase_elective,0.01603861,0.01664308,0.026828997,0.133990428,0.023443963,0.015588221,0.019065702,0.016259064
75,,07/01/2020,sas_daycase_elective,0.021137494,0.023531671,0.034632589,0.179272597,0.03132104,0.021846265,0.025973256,0.020642066
76,,08/01/2020,sas_daycase_elective,0.021128013,0.02533797,0.03569456,0.183376831,0.031508307,0.023259066,0.026274306,0.019987816
77,,09/01/2020,sas_daycase_elective,0.026364384,0.031581792,0.042787011,0.227121513,0.03916493,0.029526593,0.033113117,0.02433289
78,,10/01/2020,sas_daycase_elective,0.029604819,0.035018976,0.046570283,0.248075059,0.041841193,0.03252761,0.036225546,0.026011184
79,,11/01/2020,sas_daycase_elective,0.029272953,0.034402653,0.045126666,0.242882778,0.039703027,0.032172039,0.036168654,0.025767025
80,,12/01/2020,sas_daycase_elective,0.026357273,0.029502888,0.042568927,0.222582534,0.038273633,0.029751788,0.03132104,0.024562826
81,,01/01/2021,sas_daycase_elective,0.019636986,0.019217413,0.037557751,0.186512965,0.035960053,0.02895768,0.023903835,0.021054528
82,,02/01/2021,sas_daycase_elective,0.021298687,0.022462588,0.038038956,0.196592684,0.036633267,0.029329844,0.027134787,0.021490695
83,,03/01/2021,sas_daycase_elective,0.0283058,0.03207485,0.048495106,0.255008688,0.045842549,0.03634644,0.036253991,0.027421614
84,,04/01/2021,sas_daycase_elective,0.028587886,0.033442612,0.046432796,0.247647426,0.043002724,0.033473428,0.036429406,0.025975627
85,,05/01/2021,sas_daycase_elective,0.030074172,0.035000012,0.04871319,0.257156809,0.043450743,0.034668146,0.038254669,0.026674916
86,,06/01/2021,sas_daycase_elective,0.033544542,0.039347457,0.053821556,0.284192037,0.048419251,0.038178814,0.041604145,0.028952939
87,,07/01/2021,sas_daycase_elective,0.032406716,0.037711831,0.052778548,0.274240323,0.046328495,0.03644837,0.040331202,0.027898079
88,,08/01/2021,sas_daycase_elective,0.029818161,0.033667807,0.048810379,0.251235371,0.042715897,0.03327905,0.03669964,0.025970886
89,,09/01/2021,sas_daycase_elective,0.031468009,0.036976985,0.05188488,0.270823526,0.046624804,0.036161543,0.039648506,0.027755851
90,,10/01/2021,sas_daycase_elective,0.03076635,0.035967164,0.050761277,0.262723624,0.045076886,0.034115826,0.038728764,0.027032857
91,,11/01/2021,sas_daycase_elective,0.032762287,0.038536755,0.054722335,0.281512456,0.048698967,0.03549544,0.041495104,0.029488666
92,,12/01/2021,sas_daycase_elective,0.027661032,0.031852026,0.048390805,0.241654399,0.041464288,0.030854057,0.035727747,0.02543753
93,,01/01/2022,sas_daycase_elective,0.028576034,0.033271938,0.048255689,0.249317186,0.043502893,0.031742984,0.03684898,0.02684559
94,,02/01/2022,sas_daycase_elective,0.029720972,0.035154093,0.049801236,0.255951187,0.044465305,0.033158155,0.037240107,0.026132078
95,,04/01/2018,sas_elective_total,0,0.037238885,0,0.278672202,0,0,0.040315827,0.028815226
96,,05/01/2018,sas_elective_total,0,0.040657709,0,0.301301176,0,0,0.043323987,0.031345965
97,,06/01/2018,sas_elective_total,0,0.039915278,0,0.295348781,0,0,0.042919393,0.030571166
98,,07/01/2018,sas_elective_total,0,0.040158035,0,0.299952662,0,0,0.043338148,0.030822015
99,,08/01/2018,sas_elective_total,0,0.038272624,0,0.290549884,0,0,0.041675264,0.030239399
100,,09/01/2018,sas_elective_total,0,0.037212586,0,0.279514163,0,0,0.040508009,0.028827364
101,,10/01/2018,sas_elective_total,0,0.042537051,0,0.318759432,0,0,0.045622084,0.032968389
102,,11/01/2018,sas_elective_total,0,0.042247766,0,0.313624318,0,0,0.044907975,0.031985224
103,,12/01/2018,sas_elective_total,0,0.0345544,0,0.259392461,0,0,0.036743256,0.026707288
104,,01/01/2019,sas_elective_total,0,0.041555909,0,0.308513479,0,0,0.044446737,0.032015569
105,,02/01/2019,sas_elective_total,0,0.038913906,0,0.283971581,0,0,0.040623318,0.028851639
106,,03/01/2019,sas_elective_total,0,0.041553886,0,0.305542541,0,0,0.044052257,0.031681778
107,,04/01/2019,sas_elective_total,0.033567189,0.03846076,0.056768665,0.288819029,0.049146103,0.039520798,0.040999591,0.029976412
108,,05/01/2019,sas_elective_total,0.03528267,0.041582208,0.059999353,0.306500621,0.051345075,0.042340822,0.043967293,0.031578607
109,,06/01/2019,sas_elective_total,0.033791739,0.03971905,0.056744389,0.292463212,0.049020679,0.040493848,0.042055583,0.03023333
110,,07/01/2019,sas_elective_total,0.037111437,0.043688122,0.062789032,0.322105025,0.053867722,0.044776482,0.046141988,0.03331634
111,,08/01/2019,sas_elective_total,0.033686544,0.039193077,0.056807101,0.290891362,0.048976173,0.039797945,0.041557932,0.030500362
112,,09/01/2019,sas_elective_total,0.034024381,0.040433159,0.057569762,0.296798848,0.050026096,0.041013752,0.04261797,0.030722889
113,,10/01/2019,sas_elective_total,0.037366332,0.044438645,0.062669677,0.3263561,0.055081506,0.045670636,0.046758995,0.033957623
114,,11/01/2019,sas_elective_total,0.035824827,0.041962526,0.060058019,0.310705977,0.051848795,0.042759578,0.045057675,0.032800482
115,,12/01/2019,sas_elective_total,0.031455205,0.036061515,0.053285106,0.271203386,0.045806175,0.03692937,0.0388957,0.02843693
116,,01/01/2020,sas_elective_total,0.036419581,0.042613924,0.060638612,0.31545794,0.053349841,0.043839845,0.045373259,0.032820712
117,,02/01/2020,sas_elective_total,0.033987967,0.040121621,0.056904204,0.294807433,0.049277596,0.040963178,0.042816221,0.0303628
