financial_year,reporting_period,month,date,organisation,org_code,org_name,region_code,region_name,rgn19cd,sas_ordinary_elective,sas_daycase_elective,sas_elective_total,sas_non_elective,sas_first_attendances_GP_ref,sas_first_attendances_other_ref,sas_first_attendances_total,sas_first_attendances_DNA,sas_subsequent_attendances_seen,sas_subsequent_attendances_DNA,as_ordinary_elective,as_daycase_elective,as_elective_total,as_non_elective,as_first_attendances_GP_ref,as_first_attendances_other_ref,as_first_attendances_total,as_first_attendances_DNA,as_subsequent_attendances_seen,as_subsequent_attendances_DNA,total_admissions
2021-22,11,Dec-21,01/12/2021,National,All,NA,NA,NATIONAL,NA,83629,509718,593347,541539,801015,885239,1686254,150737,3387845,296507,87817,510819,598636,660079,957871,1262344,2220215,195527,4894263,420361,20743762
2021-22,11,Jan-22,01/01/2022,National,All,NA,NA,NATIONAL,NA,74772,525881,600653,524315,845123,950378,1795501,157997,3622050,316413,78265,527024,605289,641857,1028220,1348466,2376686,206062,5228926,443201,21897079
2021-22,11,Feb-22,01/02/2022,National,All,NA,NA,NATIONAL,NA,85016,539874,624890,501357,854314,927196,1781510,146272,3469295,285840,88536,541057,629593,609785,1017321,1306414,2323735,188872,4965296,399951,21286124
2018-19,14,Apr-18,01/04/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,14390,77645,92040,74865,171235,146455,317690,36345,633365,70305,15135,77915,93045,98065,204235,199090,403320,44905,888710,95025,3753780
2018-19,14,Apr-18,01/04/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,11620,59600,71220,57600,79405,73650,153060,9580,305710,19100,11895,59620,71510,67750,103220,115370,218590,14730,460540,30465,1994235
2018-19,14,Apr-18,01/04/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,17260,82385,99645,81645,159445,140370,299815,16865,512620,33620,17610,82415,100020,96080,196960,211165,408125,23255,826380,50970,3456650
2018-19,14,May-18,01/05/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16040,84450,100490,80880,187335,161550,348885,40635,677380,77165,16840,84750,101590,105805,221840,216785,438625,49665,951390,103500,4065600
2018-19,14,May-18,01/05/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,13455,64020,77475,59815,85045,79080,164125,10595,323620,20900,13780,64045,77825,70465,110425,124125,234545,15925,487805,32880,2129950
2018-19,14,May-18,01/05/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,19270,87810,107080,86610,174785,154125,328910,19295,553040,37100,19615,87855,107475,102195,214265,230035,444300,26170,890655,56000,3746590
2018-19,14,Jun-18,01/06/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16155,82500,98655,78150,180000,159390,339390,40605,662795,74470,16995,82800,99795,102190,213460,212395,425855,49405,928435,99445,3962885
2018-19,14,Jun-18,01/06/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,13465,62095,75560,57515,82625,76920,159545,10270,312975,20625,13825,62115,75935,67635,106670,120650,227320,15530,470660,32335,2064270
2018-19,14,Jun-18,01/06/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,19200,86880,106080,84410,170185,153040,323225,18805,535250,36270,19520,86910,106430,99615,208945,226920,435870,25590,858380,54560,3656085
2018-19,14,Jul-18,01/07/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,15460,83795,99255,80450,183065,160780,343845,43990,674145,80455,16255,84180,100435,105505,217775,216680,434455,53465,944085,107200,4045275
2018-19,14,Jul-18,01/07/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,13070,63110,76180,58745,82735,79965,162695,10865,318970,21405,13395,63130,76525,69225,107830,125165,233000,16605,485300,34015,2111930
2018-19,14,Jul-18,01/07/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,18495,88620,107115,85110,171245,156740,327980,19785,548270,37510,18900,88665,107570,100640,210845,234090,444935,27090,880010,57100,3730715
2018-19,14,Aug-18,01/08/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,14860,79735,94595,78170,171450,156075,327530,42680,627210,75790,15655,80105,95760,102515,203500,209295,412795,52145,886335,102220,3828420
2018-19,14,Aug-18,01/08/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,12700,62040,74740,58490,77060,75815,152875,9790,302275,19675,13040,62080,75120,69060,101165,118935,220100,15300,461985,31750,2013995
2018-19,14,Aug-18,01/08/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,18215,84785,103005,84150,161640,149240,310885,18790,521190,35810,18590,84855,103440,99070,199475,222865,422340,25680,839950,54225,3558200
2018-19,14,Sep-18,01/09/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,14775,77200,91975,77215,168920,149180,318105,40860,634170,74055,15560,77525,93080,101360,199080,198705,397785,49475,864780,98250,3742055
